magazineLabel,countryLabel
Zeitschrift für Ästhetik und allgemeine Kunstwissenschaft,Germany
Architektura ČSR,Czech Republic
Musaion,Czech Republic
Nové směry,Czech Republic
Pestrý týden,Czech Republic
Stavitel,Czech Republic
Surrealismus,Czech Republic
Panorama,Czech Republic
Pantheon,Germany
"Revue des deux mondes : recueil de la politique, de l'administration et des moeurs",France
Mercure de France : série moderne / directeur Alfred Vallette,France
"La Revue des beaux-arts : peinture, sculpture, architecture, gravure, musique, renseignements artistiques, expositions, concours : gazette hebdomadaire fondée en 1830 / dir. Henri Revers",France
Gazette des beaux-arts : courrier européen de l'art et de la curiosité,France
La Revue de l'art ancien et moderne,France
Les Soirées de Paris : recueil mensuel,France
"Sic : sons, idées, couleurs, formes / Pierre Albert-Birot, directeur",France
Minotaure : revue artistique et littéraire / directeur-administrateur : Albert Skira ; directeur artistique : E. Tériade,France
Le Crapouillot : gazette poilue / directeur Jean Galtier-Boissière,France
Les Cahiers d'aujourd'hui / publiés sous la direction de George Besson,France
L'Occident / [directeur : Adrien Mithouard] ; [secrétaire de la rédaction : Albert Chapon],France
Le Cousin Pons : revue d'art,France
L'Art vivant : revue bi-mensuelle des amateurs et des artistes...,France
Archives alsaciennes d'histoire de l'art,France
L'Amour de l'art : revue mensuelle,France
Cahiers d'art : bulletin mensuel d'actualité artistique / [directeur Christian Zervos],France
Humanisme et Renaissance,France
Bulletin de L'Effort moderne / directeur Léonce Rosenberg,France
Bulletin de la Société nationale des antiquaires de France,France
L'Art et les artistes : revue mensuelle d'art ancien et moderne...,France
"Les Cahiers de la République des lettres, des sciences et des arts / directeur : Pierre d'Espezel ; secrétaire général : Georges Brunon Guardia",France
Bulletin des musées de France / [rédacteur en chef : Paul Vitry],France
L'Amateur d'estampes : organe de la Chambre syndicale des éditeurs et marchands d'estampes anciennes et modernes...,France
Le Point : revue artistique et littéraire,France
Pestry_tyden,Czech Republic
Le Bulletin de la vie artistique,France
Bulletin / Académie des beaux-arts,France
Mouseion : revue internationale de muséographie,France
France-Maroc : revue mensuelle illustrée : organe du Comité des foires du Maroc / directeur Alfred de Tarde,France
La Renaissance de l'art français et des industries de luxe / directeur : Henry Lapauze,France
Le Gaulois artistique,France
"Les Nouvelles littéraires, artistiques et scientifiques : hebdomadaire d'information, de critique et de bibliographie / direction : Jacques Guenne et Maurice Martin du Gard",France
Bulletin de la Société de l'histoire de l'art français : publication trimestrielle,France
La Rénovation esthétique : revue de l'art le meilleur,France
Montjoie ! : organe de l'impérialisme artistique français : gazette bimensuelle illustrée / sous la direction de Canudo,France
Styl_(Spolek_vytvarnych_umelcu_Manes,Czech Republic
Arts et métiers graphiques / [directeur : Charles Peignot],France
Volné směry,Czech Republic
Fotografie,Czech Republic
Umění,Czech Republic
Disk,Czech Republic
"Deutsche Kunst und Dekoration: illustr. Monatshefte für moderne Malerei, Plastik, Architektur, Wohnungskunst u. künstlerisches Frauen-Arbeiten",Germany
Art et industrie : revue générale des industries de luxe et des arts appliqués à la maison... / dir. V. de La Fortelle,France
Archa,Czech Republic
"Die Kunst für alle: Malerei, Plastik, Graphik, Architektur",Germany
Fotografický obzor,Czech Republic
Blätter der Galerie Ferdinand Möller,Germany
Der Cicerone: Halbmonatsschrift für die Interessen des Kunstforschers & Sammlers,Germany
Deutscher Wille: des Kunstwarts,Germany
Antiquitäten-Zeitung,Germany
Archiv für christliche Kunst: Organ des Rottenburger Diözesan-Kunstvereins,Germany
Aventinský magazín,Czech Republic
"Badische Kunst: Jahrbuch d. Vereinigung Heimatliche Kunstpflege, Karlsruhe",Germany
Byt_a_umeni,Czech Republic
Československá fotografie,Czech Republic
Das Kunstgewerbe in Elsaß-Lothringen,Germany
Der Kreis: Zeitschrift für künstlerische Kultur ; Organ der Hamburger Bühne,Germany
"Der Kunstwanderer: Zeitschrift für alte und neue Kunst, für Kunstmarkt und Sammelwesen",Germany
"Der Kunstwart: Rundschau über alle Gebiete des Schönen ; Monatshefte für Kunst, Literatur und Leben",Germany
Der Pionier,Germany
"Der Simpl: Kunst, Karikatur, Kritik",Germany
Der Sturm: Monatsschrift für Kultur und die Künste,Germany
Die Form: Zeitschrift für gestaltende Arbeit,Germany
Die Kunst-Halle,Germany
Die Kunst in der Photographie,Germany
Bytová kultura,Czech Republic
DerMonat,Czech Republic
Die Kunstauktion: internat. Nachrichtenblatt des gesamten Kunstmarktes,Germany
Die Kunstwelt: deutsche Zeitschrift für die bildende Kunst,Germany
Die Neue Kunst in Deutschland,Germany
Die Weltkunst,Germany
Die Künstlerselbsthilfe: Zeitschrift für Kunst und Literatur,Germany
Die Rheinlande: Vierteljahrsschr. d. Verbandes der Kunstfreunde in den Ländern am Rhein,Germany
Drobné umění,Czech Republic
Revolucni_sbornik_Devetsil,Czech Republic
Feuer: Monatsschrift für Kunst und künstlerische Kultur,Germany
Freiburger Münsterblätter: Halbjahrsschrift für die Geschichte und Kunst des Freiburger Münsters,Germany
Ganymed: Blätter der Marées-Gesellschaft,Germany
Host,Czech Republic
"Christliches Kunstblatt für Kirche, Schule u. Haus",Germany
Index,Czech Republic
"Internationale Sammlerzeitung: Zentralbl. für Sammler, Liebhaber u. Kunstfreunde",Germany
Jahrbuch für Kunstsammler,Germany
Jahrbuch für Photographie und Reproduktionstechnik,Germany
Kriegszeit: Künstlerflugblätter,Germany
"Kunst-Auktion: Gemälde, Plastik, Graphik, Handzeichnungen, Aquarelle, Kunstliteratur",Germany
Kunst der Nation,Germany
Kunst und Handwerk: Zeitschrift für Kunstgewerbe und Kunsthandwerk seit 1851,Germany
Art et décoration : revue mensuelle d'art moderne...,France
Fronta,Czech Republic
Kunst und Jugend,Germany
Kunstchronik und Kunstliteratur,Germany
Kunstliteratur,Germany
Kunstgewerbeblatt,Germany
Kunstpreis-Verzeichnis,Germany
Jugend: MÃ¼nchner illustrierte Wochenschrift fÃ¼r Kunst und Leben,Germany
Kunstchronik und Kunstmarkt: Wochenschrift fÃ¼r Kenner und Sammler,Germany
Kunstmarkt: Wochenschrift fÃ¼r Kenner u. Sammler,Germany
Kunst und KÃ¼nstler: illustrierte Monatsschrift fÃ¼r bildende Kunst und Kunstgewerbe,Germany
Kunst und KÃ¼nstler im Kriege,Germany
Kunstwart und Kulturwart,Germany
Kvart,Czech Republic
L' art dÃ©coratif: revue de lÃ¡rt ancien et de la vie artistique moderne,France
Blok,Czech Republic
Genius: Zeitschrift fÃ¼r werdende und alte Kunst,Germany
Der Kunstmarkt: Halbmonatsschrift fÃ¼r den gesamten Kunsthandel,Germany
Kytice,Czech Republic
Mitteilungen aus den sÃ¤chsischen Kunstsammlungen,Germany
"Mitteilungen der Galerie Helbing, MÃ¼nchen",Germany
Mitteilungen des WÃ¼rttembergischen Kunstgewerbevereins,Germany
Moderne Kunst: illustrierte Zeitschrift,Germany
Monatsberichte Ã¼ber Kunst und Kunstwissenschaft,Germany
MSA,Czech Republic
MÃ¼nchner kunsttechnische BlÃ¤tter,Germany
Magazín DP,Czech Republic
Měsíc,Czech Republic
Nový kult,Czech Republic
Nový život,Czech Republic
Oberrheinische Kunst,Germany
Okénko do dílny umělcovy,Czech Republic
Zpravodaj_Druzstevni_prace,Czech Republic
Plan,Czech Republic
Ročenka Štencova nakladatelství na rok,Czech Republic
Schrifttum zur deutschen Kunst,Germany
"Schwäbisches Archiv: Organ für Geschichte, Altertumskunde, Literatur, Kunst und Kultur Schwabens",Germany
Topičův sborník literární a umělecký,Czech Republic
Typografia,Czech Republic
Umění dneška,Czech Republic
Výtvarná práce,Czech Republic
Výtvarná výchova,Czech Republic
Výtvarné snahy,Czech Republic
Architektura,Czech Republic
Wieland: Zeitschrift für Kunst und Dichtung,Germany
Wir,Czech Republic
Zeitschrift für christliche Kunst,Germany
Jak_zijeme,Czech Republic
Umelecky_mesicnik,Czech Republic
